23:24:42 0, 47, 28.67, 0 1, 49, 27.92, 0 
23:24:47 0, 48, 28.67, 0 1, 50, 28.41, 0 
23:24:52 0, 47, 28.67, 0 1, 49, 28.17, 0 
23:24:57 0, 47, 28.67, 0 1, 49, 27.93, 0 
23:25:02 0, 47, 28.67, 0 1, 49, 27.93, 0 
23:25:07 0, 48, 28.67, 0 1, 49, 28.41, 0 
23:25:12 0, 48, 28.67, 0 1, 50, 28.16, 0 
23:25:17 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:25:22 0, 47, 28.67, 0 1, 49, 28.17, 0 
23:25:27 0, 47, 28.67, 0 1, 49, 28.17, 0 
23:25:32 0, 47, 28.67, 0 1, 49, 28.17, 0 
23:25:37 0, 48, 28.91, 0 1, 49, 28.41, 0 
23:25:43 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:25:48 0, 47, 28.67, 0 1, 49, 28.41, 0 
23:25:53 0, 47, 28.67, 0 1, 49, 28.41, 0 
23:25:58 0, 48, 28.67, 0 1, 50, 28.17, 0 
23:26:03 0, 47, 28.67, 0 1, 49, 28.17, 0 
23:26:08 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:26:13 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:26:18 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:26:23 0, 47, 28.67, 0 1, 49, 28.17, 0 
23:26:28 0, 47, 28.67, 0 1, 50, 28.17, 0 
23:26:33 0, 47, 28.91, 0 1, 49, 28.17, 0 
23:26:38 0, 48, 28.67, 0 1, 49, 28.16, 0 
23:26:43 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:26:48 0, 47, 28.67, 0 1, 49, 27.92, 0 
23:26:53 0, 47, 28.67, 0 1, 49, 27.93, 0 
23:26:58 0, 47, 28.67, 0 1, 49, 28.17, 0 
23:27:03 0, 47, 28.67, 0 1, 49, 28.17, 0 
23:27:08 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:27:13 0, 47, 28.67, 0 1, 49, 28.17, 0 
23:27:18 0, 47, 28.67, 0 1, 50, 28.16, 0 
23:27:23 0, 48, 28.67, 0 1, 50, 28.17, 0 
23:27:29 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:27:34 0, 47, 28.67, 0 1, 49, 28.17, 0 
23:27:39 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:27:44 0, 48, 28.67, 0 1, 49, 28.41, 0 
23:27:49 0, 48, 28.67, 0 1, 50, 28.41, 0 
23:27:54 0, 48, 28.67, 0 1, 49, 28.17, 0 
23:27:59 0, 47, 28.67, 0 1, 49, 27.93, 0 
23:28:04 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:28:09 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:28:14 0, 48, 28.67, 0 1, 49, 28.41, 0 
23:28:19 0, 47, 28.91, 0 1, 50, 28.41, 0 
23:28:24 0, 47, 28.67, 0 1, 49, 28.17, 0 
23:28:29 0, 47, 28.67, 0 1, 50, 28.41, 0 
23:28:34 0, 48, 28.67, 0 1, 49, 28.41, 0 
23:28:39 0, 47, 28.67, 0 1, 49, 27.92, 0 
23:28:44 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:28:49 0, 47, 28.67, 0 1, 49, 27.92, 0 
23:28:54 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:28:59 0, 48, 28.66, 0 1, 49, 28.16, 0 
23:29:04 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:29:09 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:29:15 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:29:20 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:29:25 0, 47, 28.67, 0 1, 50, 28.16, 0 
23:29:30 0, 48, 28.67, 0 1, 49, 28.41, 0 
23:29:35 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:29:40 0, 47, 28.91, 0 1, 49, 28.16, 0 
23:29:45 0, 48, 28.67, 0 1, 50, 28.41, 0 
23:29:50 0, 47, 28.67, 0 1, 49, 28.17, 0 
23:29:55 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:30:00 0, 47, 28.67, 0 1, 49, 27.92, 0 
23:30:05 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:30:10 0, 48, 28.67, 0 1, 50, 28.16, 0 
23:30:15 0, 47, 28.66, 0 1, 49, 28.16, 0 
23:30:20 0, 47, 28.67, 0 1, 49, 28.17, 0 
23:30:25 0, 47, 28.67, 0 1, 49, 28.17, 0 
23:30:30 0, 47, 28.67, 0 1, 49, 28.17, 0 
23:30:35 0, 47, 28.91, 0 1, 49, 28.17, 0 
23:30:40 0, 47, 28.67, 0 1, 49, 27.93, 0 
23:30:45 0, 47, 28.67, 0 1, 49, 27.92, 0 
23:30:50 0, 47, 28.67, 0 1, 49, 28.17, 0 
23:30:55 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:31:00 0, 48, 28.67, 0 1, 49, 28.41, 0 
23:31:06 0, 47, 28.67, 0 1, 49, 28.41, 0 
23:31:11 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:31:16 0, 48, 28.67, 0 1, 49, 28.41, 0 
23:31:21 0, 48, 28.67, 0 1, 49, 28.41, 0 
23:31:26 0, 48, 28.67, 0 1, 49, 28.17, 0 
23:31:31 0, 48, 28.67, 0 1, 49, 28.17, 0 
23:31:36 0, 48, 28.91, 0 1, 50, 28.41, 0 
23:31:41 0, 47, 28.67, 0 1, 49, 28.41, 0 
23:31:46 0, 48, 28.67, 0 1, 49, 28.16, 0 
23:31:51 0, 48, 28.91, 0 1, 49, 28.41, 0 
23:31:56 0, 47, 28.91, 0 1, 49, 28.17, 0 
23:32:01 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:32:06 0, 47, 28.67, 0 1, 49, 28.17, 0 
23:32:11 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:32:16 0, 47, 28.67, 0 1, 49, 28.16, 0 
23:32:21 0, 47, 28.67, 0 1, 49, 27.93, 0 
